Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed
GA_WaitingTime_Dominance,200,0.257384,0.034498,0.390238,0.003731,25,25,4,3120,0.443072
GA_WaitingTime_Dominance,201,0.248180,0.034597,0.398376,0.002930,25,25,0,3104,0.436086
GA_WaitingTime_Dominance,202,0.252262,0.026128,0.395544,0.003593,22,22,0,3105,0.438299
GA_WaitingTime_Dominance,203,0.246361,0.027147,0.402615,0.003057,11,11,0,3213,0.434114
GA_WaitingTime_Dominance,204,0.253838,0.005460,0.412368,0.004052,9,9,0,3489,0.439665
GA_WaitingTime_Dominance,205,0.254691,0.028988,0.391917,0.001999,34,34,0,4468,0.440266
GA_WaitingTime_Dominance,206,0.250031,0.027768,0.396614,0.002678,25,25,0,4450,0.437447
GA_WaitingTime_Dominance,207,0.272292,0.000000,0.398408,0.007758,7,7,7,4516,0.453540
GA_WaitingTime_Dominance,208,0.257378,0.028149,0.391734,0.003049,22,22,5,4384,0.442802
GA_WaitingTime_Dominance,209,0.242497,0.027038,0.401908,0.002175,19,19,0,4600,0.431664
GA_WaitingTime_Dominance,MEAN,0.253491,0.023977,0.397972,0.003502,20,20,16,3844,0.439695
GA_WaitingTime_Dominance,STDDEV,0.007738,0.011055,0.006227,0.001546,,,,,0.005734
GA_Energy_Dominance,200,0.582765,0.115282,0.177675,0.011842,46,46,2,5090,0.676240
GA_Energy_Dominance,201,0.543162,0.164644,0.191899,0.007628,62,62,0,5695,0.648910
GA_Energy_Dominance,202,0.587470,0.129830,0.174532,0.018362,47,47,11,5516,0.681581
GA_Energy_Dominance,203,0.482257,0.205413,0.222349,0.018750,51,51,0,5870,0.608334
GA_Energy_Dominance,204,0.564083,0.167633,0.187951,0.013941,53,54,0,5521,0.664854
GA_Energy_Dominance,205,0.508098,0.112205,0.225226,0.004282,62,62,0,4643,0.608291
GA_Energy_Dominance,206,0.545210,0.137127,0.188886,0.005411,79,79,9,5716,0.657393
GA_Energy_Dominance,207,0.597610,0.123557,0.170921,0.008643,62,62,5,5167,0.686279
GA_Energy_Dominance,208,0.558242,0.121826,0.192627,0.005648,47,47,0,5292,0.653359
GA_Energy_Dominance,209,0.553928,0.157186,0.195810,0.023617,48,48,0,3776,0.646748
GA_Energy_Dominance,MEAN,0.552283,0.143470,0.192787,0.011812,56,56,27,5228,0.653199
GA_Energy_Dominance,STDDEV,0.033747,0.028144,0.017362,0.006310,,,,,0.025834
SA_WaitingTime_Dominance,200,0.263742,0.054252,0.387278,0.004313,16,16,0,2019,0.424434
SA_WaitingTime_Dominance,201,0.251297,0.053833,0.389326,0.002484,21,21,0,2762,0.428018
SA_WaitingTime_Dominance,202,0.242469,0.037436,0.392826,0.001167,14,14,0,3018,0.427632
SA_WaitingTime_Dominance,203,0.279134,0.037948,0.380803,0.004854,10,10,0,3017,0.424959
SA_WaitingTime_Dominance,204,0.234324,0.009323,0.396404,0.003520,12,12,10,3066,0.430577
SA_WaitingTime_Dominance,205,0.333812,0.076084,0.361892,0.004308,28,29,0,3912,0.422364
SA_WaitingTime_Dominance,206,0.231070,0.030773,0.397383,0.020090,8,8,0,3337,0.427977
SA_WaitingTime_Dominance,207,0.290640,0.046786,0.375811,0.001574,15,15,0,3542,0.427141
SA_WaitingTime_Dominance,208,0.259137,0.045207,0.387170,0.006134,13,13,0,3370,0.426510
SA_WaitingTime_Dominance,209,0.264442,0.045851,0.382905,0.004354,14,14,0,3307,0.431522
SA_WaitingTime_Dominance,MEAN,0.265007,0.043749,0.385180,0.005280,15,15,10,3135,0.427114
SA_WaitingTime_Dominance,STDDEV,0.029011,0.016433,0.010067,0.005143,,,,,0.002608
SA_Energy_Dominance,200,0.538967,0.213993,0.215144,0.002537,54,54,4,3428,0.641250
SA_Energy_Dominance,201,0.520855,0.218882,0.210765,0.003379,35,35,0,3511,0.628340
SA_Energy_Dominance,202,0.541281,0.224405,0.210591,0.003991,78,80,4,3605,0.641514
SA_Energy_Dominance,203,0.521743,0.236473,0.211799,0.007068,37,37,3,3505,0.627763
SA_Energy_Dominance,204,0.514808,0.248730,0.225531,0.002718,43,44,0,3675,0.617579
SA_Energy_Dominance,205,0.508017,0.194012,0.219486,0.007793,37,37,0,3459,0.616719
SA_Energy_Dominance,206,0.513227,0.229658,0.223839,0.004872,43,43,0,3520,0.619295
SA_Energy_Dominance,207,0.510989,0.223318,0.226688,0.009487,51,51,0,3459,0.615027
SA_Energy_Dominance,208,0.534161,0.213786,0.209486,0.004285,67,67,0,3394,0.635489
SA_Energy_Dominance,209,0.559444,0.181088,0.220810,0.004711,45,45,4,3503,0.652370
SA_Energy_Dominance,MEAN,0.526349,0.218435,0.217414,0.005084,49,49,15,3505,0.629534
SA_Energy_Dominance,STDDEV,0.015707,0.018605,0.006319,0.002183,,,,,0.012103
NSGA-II,200,0.499062,0.032552,0.235959,0.003877,46,46,0,8999,0.614521
NSGA-II,201,0.556628,0.034671,0.186157,0.002164,48,48,0,9211,0.657436
NSGA-II,202,0.522700,0.049729,0.213534,0.004999,48,48,0,8760,0.631374
NSGA-II,203,0.511396,0.030997,0.221990,0.004023,44,44,0,8188,0.623924
NSGA-II,204,0.558283,0.028628,0.185176,0.004580,52,52,0,8615,0.657829
NSGA-II,205,0.580600,0.021405,0.181726,0.002832,50,50,0,8484,0.675945
NSGA-II,206,0.541385,0.042612,0.191202,0.002894,59,59,0,8289,0.648821
NSGA-II,207,0.536698,0.040122,0.206879,0.002878,51,51,0,8485,0.642699
NSGA-II,208,0.471246,0.023944,0.255731,0.002891,38,38,0,8367,0.594232
NSGA-II,209,0.537493,0.038938,0.203031,0.003062,42,42,0,8579,0.643226
NSGA-II,MEAN,0.531549,0.034360,0.208139,0.003420,48,48,0,8597,0.639001
NSGA-II,STDDEV,0.030140,0.008260,0.022984,0.000855,,,,,0.022530
SPEA-II,200,0.499043,0.034406,0.248003,0.003365,40,40,0,9310,0.616044
SPEA-II,201,0.453730,0.034514,0.263957,0.003463,37,37,0,9198,0.582115
SPEA-II,202,0.434344,0.002991,0.291593,0.003747,31,31,14,8812,0.569762
SPEA-II,203,0.450083,0.051113,0.258115,0.001952,34,34,0,9355,0.578329
SPEA-II,204,0.443597,0.036576,0.268566,0.002480,30,30,0,9445,0.574066
SPEA-II,205,0.509164,0.034165,0.227441,0.003091,47,47,0,9253,0.624667
SPEA-II,206,0.538281,0.027346,0.216899,0.003274,41,41,0,9487,0.645519
SPEA-II,207,0.416038,0.018871,0.298471,0.001350,34,34,0,8791,0.554427
SPEA-II,208,0.505732,0.043458,0.223945,0.002218,45,45,0,9336,0.620388
SPEA-II,209,0.487349,0.016447,0.248382,0.003714,36,36,0,9483,0.606704
SPEA-II,MEAN,0.473736,0.029989,0.254537,0.002865,38,38,14,9247,0.597202
SPEA-II,STDDEV,0.037443,0.013309,0.026017,0.000776,,,,,0.027881
AMOSA,200,0.268174,0.063616,0.373683,0.004161,15,15,0,8573,0.437642
AMOSA,201,0.261338,0.084481,0.375414,0.003213,14,14,0,9088,0.432235
AMOSA,202,0.246634,0.077450,0.384054,0.004813,9,9,0,10186,0.421013
AMOSA,203,0.280969,0.060651,0.366524,0.003188,23,23,0,9639,0.446859
AMOSA,204,0.262510,0.046109,0.386007,0.003716,8,8,0,9742,0.433073
AMOSA,205,0.280483,0.052921,0.368179,0.006431,13,13,0,10442,0.446521
AMOSA,206,0.282671,0.073338,0.354325,0.008428,18,18,0,8786,0.448093
AMOSA,207,0.272663,0.071577,0.365162,0.006838,17,17,0,8790,0.440882
AMOSA,208,0.269039,0.059286,0.371254,0.011307,17,17,0,8860,0.437662
AMOSA,209,0.281954,0.058652,0.360750,0.012031,19,19,0,8748,0.447580
AMOSA,MEAN,0.270643,0.064808,0.370535,0.006413,15,15,0,9285,0.439156
AMOSA,STDDEV,0.011036,0.011151,0.009303,0.003087,,,,,0.008282
GA_WaitingTime_Dominance_PC90,200,0.256932,0.033903,0.390876,0.002991,32,32,0,7553,0.442674
GA_WaitingTime_Dominance_PC90,201,0.247914,0.036717,0.399014,0.004932,28,28,0,9998,0.435875
GA_WaitingTime_Dominance_PC90,202,0.252262,0.026128,0.395544,0.003593,22,22,0,9394,0.438299
GA_WaitingTime_Dominance_PC90,203,0.246361,0.027147,0.402615,0.003057,11,11,0,9493,0.434114
GA_WaitingTime_Dominance_PC90,204,0.253838,0.005460,0.412368,0.004052,9,9,0,9647,0.439665
GA_WaitingTime_Dominance_PC90,205,0.254674,0.029775,0.391962,0.001873,36,36,0,9423,0.440254
GA_WaitingTime_Dominance_PC90,206,0.249919,0.023551,0.396187,0.002692,29,29,0,9695,0.437370
GA_WaitingTime_Dominance_PC90,207,0.272292,0.000000,0.398408,0.007758,7,7,7,7710,0.453540
GA_WaitingTime_Dominance_PC90,208,0.257171,0.032320,0.393241,0.003139,19,19,0,9844,0.442586
GA_WaitingTime_Dominance_PC90,209,0.241855,0.034129,0.402966,0.002670,20,20,0,10862,0.431061
GA_WaitingTime_Dominance_PC90,MEAN,0.253322,0.024913,0.398318,0.003676,21,21,7,9361,0.439544
GA_WaitingTime_Dominance_PC90,STDDEV,0.007821,0.011794,0.006097,0.001574,,,,,0.005802
GA_Energy_Dominance_PC90,200,0.582765,0.115282,0.177675,0.011842,46,46,2,10005,0.676240
GA_Energy_Dominance_PC90,201,0.543162,0.164644,0.191899,0.007628,62,62,0,10331,0.648910
GA_Energy_Dominance_PC90,202,0.587470,0.129830,0.174532,0.018362,47,47,11,11271,0.681581
GA_Energy_Dominance_PC90,203,0.482257,0.205413,0.222349,0.018750,51,51,0,10846,0.608334
GA_Energy_Dominance_PC90,204,0.564083,0.167633,0.187951,0.013941,53,54,0,9952,0.664854
GA_Energy_Dominance_PC90,205,0.508098,0.112205,0.225226,0.004282,62,62,0,9436,0.608291
GA_Energy_Dominance_PC90,206,0.545210,0.137127,0.188886,0.005411,79,79,9,10202,0.657393
GA_Energy_Dominance_PC90,207,0.597610,0.123557,0.170921,0.008643,62,62,5,9730,0.686279
GA_Energy_Dominance_PC90,208,0.558242,0.121826,0.192627,0.005648,47,47,0,9522,0.653359
GA_Energy_Dominance_PC90,209,0.553928,0.157186,0.195810,0.023617,48,48,0,9949,0.646748
GA_Energy_Dominance_PC90,MEAN,0.552283,0.143470,0.192787,0.011812,56,56,27,10124,0.653199
GA_Energy_Dominance_PC90,STDDEV,0.033747,0.028144,0.017362,0.006310,,,,,0.025834
SA_WaitingTime_Dominance_PC90,200,0.269939,0.054752,0.385009,0.001707,17,17,0,7478,0.424368
SA_WaitingTime_Dominance_PC90,201,0.251297,0.053833,0.389326,0.002484,21,21,0,7221,0.428018
SA_WaitingTime_Dominance_PC90,202,0.242469,0.037436,0.392826,0.001167,14,14,0,7126,0.427632
SA_WaitingTime_Dominance_PC90,203,0.279134,0.037948,0.380803,0.004854,10,10,0,5327,0.424959
SA_WaitingTime_Dominance_PC90,204,0.234324,0.009323,0.396404,0.003520,12,12,10,5010,0.430577
SA_WaitingTime_Dominance_PC90,205,0.333812,0.076084,0.361892,0.004308,28,29,0,5225,0.422364
SA_WaitingTime_Dominance_PC90,206,0.231070,0.030773,0.397383,0.020090,8,8,0,5068,0.427977
SA_WaitingTime_Dominance_PC90,207,0.290640,0.046786,0.375811,0.001574,15,15,0,5104,0.427141
SA_WaitingTime_Dominance_PC90,208,0.259137,0.045207,0.387170,0.006134,13,13,0,5101,0.426510
SA_WaitingTime_Dominance_PC90,209,0.264324,0.048092,0.382907,0.005625,14,14,0,5143,0.431439
SA_WaitingTime_Dominance_PC90,MEAN,0.265615,0.044023,0.384953,0.005146,15,15,10,5780,0.427099
SA_WaitingTime_Dominance_PC90,STDDEV,0.029044,0.016507,0.010042,0.005248,,,,,0.002601
SA_Energy_Dominance_PC90,200,0.538967,0.213993,0.215144,0.002537,54,54,4,4776,0.641250
SA_Energy_Dominance_PC90,201,0.520855,0.218882,0.210765,0.003379,35,35,0,4873,0.628340
SA_Energy_Dominance_PC90,202,0.541281,0.224405,0.210591,0.003991,78,80,4,4876,0.641514
SA_Energy_Dominance_PC90,203,0.521743,0.236473,0.211799,0.007068,37,37,3,5800,0.627763
SA_Energy_Dominance_PC90,204,0.514808,0.248730,0.225531,0.002718,43,44,0,6426,0.617579
SA_Energy_Dominance_PC90,205,0.508017,0.194012,0.219486,0.007793,37,37,0,6543,0.616719
SA_Energy_Dominance_PC90,206,0.513227,0.229658,0.223839,0.004872,43,43,0,6789,0.619295
SA_Energy_Dominance_PC90,207,0.510989,0.223318,0.226688,0.009487,51,51,0,6995,0.615027
SA_Energy_Dominance_PC90,208,0.534161,0.213786,0.209486,0.004285,67,67,0,6707,0.635489
SA_Energy_Dominance_PC90,209,0.559444,0.181088,0.220810,0.004711,45,45,4,6508,0.652370
SA_Energy_Dominance_PC90,MEAN,0.526349,0.218435,0.217414,0.005084,49,49,15,6029,0.629534
SA_Energy_Dominance_PC90,STDDEV,0.015707,0.018605,0.006319,0.002183,,,,,0.012103
NSGA-II_PC90,200,0.489809,0.030621,0.233551,0.005042,41,41,0,12561,0.607540
NSGA-II_PC90,201,0.574875,0.004175,0.208157,0.006011,30,30,26,12930,0.669857
NSGA-II_PC90,202,0.598238,0.026730,0.167960,0.004169,56,56,4,12983,0.689473
NSGA-II_PC90,203,0.540095,0.035013,0.203540,0.005009,43,43,0,12844,0.645850
NSGA-II_PC90,204,0.526424,0.047119,0.207822,0.002425,49,49,0,13072,0.635638
NSGA-II_PC90,205,0.515246,0.040468,0.217588,0.002231,43,43,0,12743,0.626801
NSGA-II_PC90,206,0.525257,0.031408,0.225330,0.004027,37,38,0,12692,0.633743
NSGA-II_PC90,207,0.572924,0.036846,0.176747,0.003949,45,45,0,12635,0.669563
NSGA-II_PC90,208,0.526581,0.030689,0.209660,0.005791,46,46,0,13053,0.635470
NSGA-II_PC90,209,0.575065,0.028915,0.177488,0.003543,49,49,0,12708,0.671769
NSGA-II_PC90,MEAN,0.544451,0.031198,0.202784,0.004220,44,44,30,12822,0.648570
NSGA-II_PC90,STDDEV,0.032306,0.010686,0.020753,0.001214,,,,,0.024142
SPEA-II_PC90,200,0.515451,0.020037,0.231274,0.002874,36,36,0,13465,0.628621
SPEA-II_PC90,201,0.520579,0.031448,0.227052,0.003465,32,32,0,13535,0.631737
SPEA-II_PC90,202,0.428280,0.016904,0.287812,0.002498,29,29,0,13022,0.563598
SPEA-II_PC90,203,0.381734,0.033346,0.316870,0.000811,26,26,0,13236,0.527803
SPEA-II_PC90,204,0.492938,0.053338,0.238967,0.003769,41,41,0,13432,0.610898
SPEA-II_PC90,205,0.476644,0.026725,0.247313,0.003186,44,44,0,12964,0.598982
SPEA-II_PC90,206,0.552788,0.026782,0.211240,0.003085,45,45,0,13420,0.656839
SPEA-II_PC90,207,0.410593,0.002831,0.314886,0.000969,24,24,0,9667,0.551936
SPEA-II_PC90,208,0.513963,0.040576,0.227114,0.003090,37,37,0,13189,0.626482
SPEA-II_PC90,209,0.523290,0.024306,0.234501,0.003371,39,39,0,13603,0.634475
SPEA-II_PC90,MEAN,0.481626,0.027630,0.253703,0.002712,35,35,0,12953,0.603137
SPEA-II_PC90,STDDEV,0.053413,0.012946,0.036396,0.000967,,,,,0.039769
AMOSA_PC90,200,0.282393,0.072519,0.359141,0.010691,15,15,0,14496,0.447996
AMOSA_PC90,201,0.284255,0.050199,0.368001,0.004197,12,12,0,13657,0.449778
AMOSA_PC90,202,0.259766,0.054809,0.384041,0.004031,13,13,0,13848,0.431362
AMOSA_PC90,203,0.275396,0.058432,0.369481,0.004935,15,15,0,13942,0.443079
AMOSA_PC90,204,0.265073,0.064444,0.371258,0.009826,11,11,0,14402,0.435443
AMOSA_PC90,205,0.254772,0.052511,0.386878,0.003134,12,12,0,14278,0.427112
AMOSA_PC90,206,0.298328,0.104186,0.342123,0.006198,23,23,0,13972,0.460362
AMOSA_PC90,207,0.258642,0.070562,0.380934,0.002091,16,16,0,14728,0.429978
AMOSA_PC90,208,0.243212,0.073580,0.386923,0.002122,12,12,0,13683,0.417697
AMOSA_PC90,209,0.256841,0.057107,0.385319,0.009765,12,12,0,13990,0.428715
AMOSA_PC90,MEAN,0.267868,0.065835,0.373410,0.005699,14,14,0,14099,0.437152
AMOSA_PC90,STDDEV,0.015886,0.015081,0.013810,0.003111,,,,,0.012204
GA_WaitingTime_Dominance_PC60,200,0.243745,0.055631,0.396280,0.008813,6,6,0,9334,0.419308
GA_WaitingTime_Dominance_PC60,201,0.233435,0.046499,0.412044,0.000000,2,2,0,9333,0.413728
