Algorithm,Seed,HV,GD,IGD,Spacing,NonDomSolutions,TotalSolutions,ParetoContribution,TimeMs,HV_fixed
GA_WaitingTime_Dominance,200,0.169225,0.023970,0.507731,0.007847,22,22,0,3861,0.244741
GA_WaitingTime_Dominance,201,0.134802,0.026796,0.519061,0.017927,13,13,0,3989,0.230891
GA_WaitingTime_Dominance,202,0.169653,0.045072,0.493520,0.011100,9,9,2,3891,0.261994
GA_WaitingTime_Dominance,203,0.146528,0.009675,0.529373,0.027882,6,6,3,4033,0.241187
GA_WaitingTime_Dominance,204,0.133093,0.019744,0.526058,0.024728,18,18,0,3973,0.229399
GA_WaitingTime_Dominance,205,0.140104,0.013658,0.527677,0.028455,11,11,0,3799,0.235614
GA_WaitingTime_Dominance,206,0.156245,0.030588,0.509419,0.009079,21,21,0,3947,0.250217
GA_WaitingTime_Dominance,207,0.159480,0.042674,0.501635,0.013819,9,9,0,4267,0.253083
GA_WaitingTime_Dominance,208,0.142010,0.026696,0.515889,0.007591,25,25,0,4030,0.237442
GA_WaitingTime_Dominance,209,0.144959,0.033046,0.520278,0.016122,9,9,0,3812,0.239956
GA_WaitingTime_Dominance,MEAN,0.149610,0.027192,0.515064,0.016455,14,14,5,3960,0.242452
GA_WaitingTime_Dominance,STDDEV,0.012646,0.010777,0.011219,0.007668,,,,,0.009717
GA_Energy_Dominance,200,0.682747,0.053974,0.066816,0.005947,100,100,1,5669,0.734486
GA_Energy_Dominance,201,0.670538,0.059385,0.075854,0.005638,88,88,5,5534,0.722924
GA_Energy_Dominance,202,0.683621,0.038186,0.072506,0.008931,88,88,14,5625,0.729622
GA_Energy_Dominance,203,0.670980,0.054187,0.073732,0.010644,89,89,0,5762,0.725079
GA_Energy_Dominance,204,0.689659,0.037120,0.065716,0.007364,93,93,15,5668,0.742015
GA_Energy_Dominance,205,0.658461,0.067094,0.079572,0.010654,85,85,0,5654,0.713804
GA_Energy_Dominance,206,0.631757,0.096558,0.096080,0.010265,91,91,0,6128,0.690186
GA_Energy_Dominance,207,0.700884,0.033876,0.060763,0.005593,97,97,23,5876,0.750879
GA_Energy_Dominance,208,0.685046,0.039955,0.073110,0.004696,92,92,1,5324,0.732502
GA_Energy_Dominance,209,0.680814,0.045717,0.074372,0.007527,76,76,21,6007,0.729433
GA_Energy_Dominance,MEAN,0.675451,0.052605,0.073852,0.007726,90,90,80,5724,0.727093
GA_Energy_Dominance,STDDEV,0.018252,0.017883,0.009058,0.002154,,,,,0.015635
SA_WaitingTime_Dominance,200,0.096505,0.009663,0.577454,0.002117,26,26,0,2082,0.197153
SA_WaitingTime_Dominance,201,0.131253,0.017622,0.542192,0.003730,24,24,0,2626,0.228150
SA_WaitingTime_Dominance,202,0.096711,0.009302,0.577760,0.006152,15,15,0,2719,0.197352
SA_WaitingTime_Dominance,203,0.144717,0.010587,0.536877,0.001228,15,15,9,2470,0.240033
SA_WaitingTime_Dominance,204,0.101700,0.012392,0.570091,0.002058,28,28,0,2242,0.201837
SA_WaitingTime_Dominance,205,0.113545,0.014509,0.558457,0.008225,16,16,4,2367,0.212440
SA_WaitingTime_Dominance,206,0.102921,0.008481,0.570242,0.003540,32,32,0,2212,0.195441
SA_WaitingTime_Dominance,207,0.111679,0.017376,0.561898,0.002518,25,25,4,2400,0.210735
SA_WaitingTime_Dominance,208,0.094728,0.008829,0.579224,0.002439,21,21,0,2508,0.195574
SA_WaitingTime_Dominance,209,0.104324,0.013418,0.565890,0.002088,25,25,2,2382,0.204180
SA_WaitingTime_Dominance,MEAN,0.109808,0.012218,0.564009,0.003410,23,23,19,2400,0.208289
SA_WaitingTime_Dominance,STDDEV,0.015541,0.003251,0.013886,0.002063,,,,,0.014333
SA_Energy_Dominance,200,0.506998,0.111871,0.251904,0.002988,112,113,0,2957,0.561573
SA_Energy_Dominance,201,0.557386,0.116414,0.192975,0.003217,119,119,0,2890,0.610195
SA_Energy_Dominance,202,0.495746,0.092382,0.287027,0.001687,107,109,0,2687,0.549558
SA_Energy_Dominance,203,0.536902,0.119201,0.223429,0.004747,115,117,0,2779,0.590142
SA_Energy_Dominance,204,0.560192,0.130093,0.182124,0.003210,127,129,0,2862,0.614737
SA_Energy_Dominance,205,0.545206,0.094463,0.260894,0.001420,125,127,2,2959,0.594952
SA_Energy_Dominance,206,0.543257,0.121277,0.240198,0.002634,108,109,4,3052,0.595754
SA_Energy_Dominance,207,0.562847,0.124135,0.208152,0.004441,83,84,3,1889,0.614603
SA_Energy_Dominance,208,0.531198,0.158971,0.176303,0.005201,129,129,0,2069,0.593584
SA_Energy_Dominance,209,0.533200,0.095456,0.260209,0.002909,126,127,0,1910,0.583857
SA_Energy_Dominance,MEAN,0.537293,0.116426,0.228322,0.003245,115,116,9,2605,0.590896
SA_Energy_Dominance,STDDEV,0.020922,0.018996,0.035695,0.001176,,,,,0.020418
NSGA-II,200,0.559118,0.005266,0.289563,0.006689,45,45,23,6152,0.607906
NSGA-II,201,0.569114,0.009686,0.278514,0.010844,51,51,4,6824,0.617047
NSGA-II,202,0.573357,0.011934,0.261989,0.004214,59,59,5,8991,0.621079
NSGA-II,203,0.556041,0.015113,0.274870,0.004251,56,56,0,8700,0.605409
NSGA-II,204,0.558024,0.013997,0.265959,0.004638,58,58,0,8831,0.607135
NSGA-II,205,0.511008,0.010526,0.309446,0.003151,55,55,0,8636,0.565019
NSGA-II,206,0.539330,0.010010,0.290528,0.003861,48,48,3,8334,0.590278
NSGA-II,207,0.540927,0.015972,0.289048,0.003641,55,55,0,8571,0.592017
NSGA-II,208,0.554003,0.010101,0.284472,0.005984,54,54,0,10137,0.603522
NSGA-II,209,0.528565,0.013307,0.289059,0.005702,50,50,1,8526,0.580693
NSGA-II,MEAN,0.548949,0.011591,0.283345,0.005297,53,53,36,8370,0.599010
NSGA-II,STDDEV,0.018100,0.002999,0.013006,0.002132,,,,,0.016232
SPEA-II,200,0.537801,0.011455,0.288706,0.005340,57,57,0,6630,0.589075
SPEA-II,201,0.484480,0.013082,0.322153,0.009343,49,49,1,7003,0.541371
SPEA-II,202,0.528203,0.012445,0.295748,0.003844,55,55,0,10449,0.580551
SPEA-II,203,0.516092,0.015846,0.302594,0.009030,46,46,2,10701,0.569741
SPEA-II,204,0.508563,0.009994,0.309470,0.004714,49,49,8,9148,0.562916
SPEA-II,205,0.505698,0.011299,0.313716,0.003386,42,42,1,10129,0.560465
SPEA-II,206,0.491651,0.009875,0.321891,0.003239,47,47,0,9666,0.547825
SPEA-II,207,0.468818,0.007227,0.340960,0.006741,36,36,7,9526,0.527400
SPEA-II,208,0.513689,0.012659,0.304303,0.005141,53,53,12,9008,0.567688
SPEA-II,209,0.540569,0.018010,0.282742,0.004058,52,52,1,8318,0.591769
SPEA-II,MEAN,0.509556,0.012189,0.308228,0.005483,49,49,32,9057,0.563880
SPEA-II,STDDEV,0.021890,0.002906,0.016484,0.002096,,,,,0.019614
AMOSA,200,0.212459,0.056640,0.463120,0.005615,25,25,0,6588,0.299182
AMOSA,201,0.212316,0.052590,0.463788,0.006340,26,26,0,6742,0.299067
AMOSA,202,0.213379,0.057303,0.464605,0.002460,25,25,0,6621,0.300070
AMOSA,203,0.212731,0.060910,0.463165,0.005909,23,23,0,6696,0.299401
AMOSA,204,0.212427,0.058232,0.461838,0.005163,26,26,0,6623,0.299164
AMOSA,205,0.211040,0.060431,0.465062,0.003998,28,28,0,6863,0.298036
AMOSA,206,0.221586,0.039061,0.464597,0.011268,20,20,0,6939,0.307257
AMOSA,207,0.218968,0.058891,0.461504,0.007179,24,24,0,7098,0.304953
AMOSA,208,0.212748,0.057796,0.460151,0.010862,26,26,0,6699,0.299439
AMOSA,209,0.213167,0.051389,0.460219,0.006051,26,26,0,6701,0.299770
AMOSA,MEAN,0.214082,0.055324,0.462805,0.006484,25,25,0,6757,0.300634
AMOSA,STDDEV,0.003207,0.006145,0.001706,0.002607,,,,,0.002829
Universal_Pareto,ALL,0.774549,0.000000,0.000000,0.000000,181,181,181,0,0.817889
